"Time","Potential","Angle","Velocity","Acceleration"
3.5136,1.589,0.00,0.000,0.00
3.5200,1.595,0.00,0.000,0.00
3.5264,1.595,0.00,0.000,0.00
3.5328,1.595,0.00,0.000,0.00
3.5392,1.589,0.00,0.000,0.00
3.5456,1.589,0.00,0.000,0.00
3.5520,1.592,0.00,0.000,0.00
3.5584,1.595,0.00,0.000,0.00
3.5648,1.592,0.00,0.000,0.00
3.5712,1.586,0.00,0.000,0.00
3.5776,1.595,0.00,0.000,0.00
3.5840,1.595,0.00,0.000,0.00
3.5904,1.595,0.00,0.000,0.00
3.5968,1.589,0.00,0.000,0.00
3.6032,1.595,0.00,0.000,0.00
3.6096,1.595,0.00,0.000,0.00
3.6160,1.595,0.00,0.000,0.00
3.6224,1.592,0.00,0.000,0.00
3.6288,1.589,0.00,0.000,0.00
3.6352,1.592,0.00,0.000,0.00
3.6416,1.595,0.00,0.000,0.00
3.6480,1.595,0.00,0.000,0.00
3.6544,1.583,0.00,0.000,0.00
3.6608,1.595,0.00,0.000,0.00
3.6672,1.595,0.00,0.000,0.00
3.6736,1.598,0.00,0.000,0.00
3.6800,1.589,0.00,0.000,0.00
3.6864,1.595,0.00,0.000,0.00
3.6928,1.592,0.00,0.000,0.00
3.6992,1.595,0.00,0.000,0.00
3.7056,1.592,0.00,0.000,0.00
3.7120,1.589,0.00,0.000,0.00
3.7184,1.592,0.00,0.000,0.00
3.7248,1.595,0.00,0.000,0.00
3.7312,1.595,0.00,0.000,0.00
3.7376,1.586,0.00,0.000,0.00
3.7440,1.592,0.00,0.000,0.00
3.7504,1.595,0.00,0.000,0.00
3.7568,1.595,0.00,0.000,0.00
3.7632,1.589,0.00,0.000,0.00
3.7696,1.592,0.00,0.000,0.00
3.7760,1.592,0.00,0.000,0.00
3.7824,1.592,0.00,0.000,0.00
3.7888,1.592,0.00,0.000,0.00
3.7952,1.589,0.00,0.000,0.00
3.8016,1.592,0.00,0.000,0.00
3.8080,1.595,0.00,0.000,0.00
3.8144,1.595,0.00,0.000,0.00
3.8208,1.586,0.00,0.000,0.00
3.8272,1.595,0.00,0.000,0.00
3.8336,1.595,0.00,0.000,0.00
3.8400,1.598,0.00,0.000,0.00
3.8464,1.589,0.00,0.000,0.00
3.8528,1.595,0.00,0.000,0.00
3.8592,1.595,0.00,0.000,0.00
3.8656,1.595,0.00,0.000,0.00
3.8720,1.592,0.00,0.000,0.00
3.8784,1.589,0.00,0.000,0.00
3.8848,1.592,0.00,0.000,0.00
3.8912,1.592,0.00,0.000,0.00
3.8976,1.592,0.00,0.000,0.00
3.9040,1.586,0.00,0.000,0.00
3.9104,1.595,0.00,0.000,0.00
3.9168,1.592,0.00,0.000,0.00
3.9232,1.595,0.00,0.000,0.00
3.9296,1.586,0.00,0.000,0.00
3.9360,1.592,0.00,0.000,0.00
3.9424,1.595,0.00,0.000,0.00
3.9488,1.595,0.00,0.000,0.00
3.9552,1.595,0.00,0.000,0.00
3.9616,1.586,0.00,0.000,0.00
3.9680,1.592,0.00,0.000,0.00
3.9744,1.598,0.00,0.000,0.00
3.9808,1.595,0.00,0.000,0.00
3.9872,1.586,0.00,0.000,0.00
3.9936,1.595,0.00,0.000,0.00
4.0000,1.595,0.00,0.000,0.00
4.0060,1.595,0.00,0.000,0.00
4.0124,1.595,0.00,0.000,0.00
4.0188,1.595,0.00,0.000,0.00
4.0252,1.589,0.00,0.000,0.00
4.0316,1.592,0.00,0.000,0.00
4.0380,1.592,0.00,0.000,0.00
4.0444,1.595,0.00,0.000,0.00
4.0508,1.589,0.00,0.000,0.00
4.0572,1.595,0.00,0.000,0.00
4.0636,1.595,0.00,0.000,0.00
4.0700,1.595,0.00,0.000,0.00
4.0764,1.595,0.00,0.000,0.00
4.0828,1.583,0.00,0.000,0.00
4.0892,1.592,0.00,0.000,0.00
4.0956,1.595,0.00,0.000,0.00
4.1020,1.595,0.00,0.000,0.00
4.1084,1.589,0.00,0.000,0.00
4.1148,1.592,0.00,0.000,0.00
4.1212,1.592,0.00,0.000,0.00
4.1276,1.595,0.00,0.000,0.00
4.1340,1.592,0.00,0.000,0.00
4.1404,1.592,0.00,0.000,0.00
4.1468,1.595,0.00,0.000,0.00
4.1532,1.595,0.00,0.000,0.00
4.1596,1.592,0.00,0.000,0.00
4.1660,1.583,0.00,0.000,0.00
4.1724,1.592,0.00,0.000,0.00
4.1788,1.595,0.00,0.000,0.00
4.1852,1.595,0.00,0.000,0.00
4.1916,1.589,0.00,0.000,0.00
4.1980,1.592,0.00,0.000,0.00
4.2044,1.592,0.00,0.000,0.00
4.2108,1.595,0.00,0.000,0.00
